method,alpha,layer,groups,group_size_pattern,num_groups,unique_group_count_1,unique_group_count_2,unique_group_rate_1,unique_group_rate_2,mean_unique_groups,mean_intragroup_output_distance,oracle_unique_group_rate_1,oracle_unique_group_rate_2,oracle_mean_unique_groups,oracle_mean_intragroup_output_distance
objective_aware,1.0,6,"[[0,1,2,4],[3],[5,6],[7]]","[4,2,1,1]",4,18644,46892,0.28448486328125,0.71551513671875,1.71551513671875,0.6784695727484567,0.4250640869140625,0.5749359130859375,1.5749359130859375,0.7086998403072358
legacy_pairwise_hc,1.0,6,"[[0,1,2,4],[3],[5,6],[7]]","[4,2,1,1]",4,18644,46892,0.28448486328125,0.71551513671875,1.71551513671875,0.6784695727484567,0.4250640869140625,0.5749359130859375,1.5749359130859375,0.7086998403072358
objective_aware,1.0,7,"[[0,2],[1,4],[3,5,7],[6]]","[3,2,2,1]",4,13334,52202,0.203460693359375,0.796539306640625,1.796539306640625,0.8036081194877625,0.425811767578125,0.574188232421875,1.574188232421875,0.8846524357795715
legacy_pairwise_hc,1.0,7,"[[0,2],[1,4],[3,5,7],[6]]","[3,2,2,1]",4,13334,52202,0.203460693359375,0.796539306640625,1.796539306640625,0.8036081194877625,0.425811767578125,0.574188232421875,1.574188232421875,0.8846524357795715
objective_aware,1.0,8,"[[0,3,4,6,7],[1],[2],[5]]","[5,1,1,1]",4,23007,42529,0.3510589599609375,0.6489410400390625,1.6489410400390625,0.9055051386356354,0.3916168212890625,0.6083831787109375,1.6083831787109375,0.9372064590454101
legacy_pairwise_hc,1.0,8,"[[0,3,4,6,7],[1],[2],[5]]","[5,1,1,1]",4,23007,42529,0.3510589599609375,0.6489410400390625,1.6489410400390625,0.9055051386356354,0.3916168212890625,0.6083831787109375,1.6083831787109375,0.9372064590454101
objective_aware,1.0,9,"[[0,3,5],[1,2],[4,7],[6]]","[3,2,2,1]",4,16284,49252,0.24847412109375,0.75152587890625,1.75152587890625,0.9870888352394104,0.445556640625,0.554443359375,1.554443359375,1.115380311012268
legacy_pairwise_hc,1.0,9,"[[0,3,5],[1,2],[4,7],[6]]","[3,2,2,1]",4,16284,49252,0.24847412109375,0.75152587890625,1.75152587890625,0.9870888352394104,0.445556640625,0.554443359375,1.554443359375,1.115380311012268
objective_aware,1.0,10,"[[0],[1,3],[2,5,6,7],[4]]","[4,2,1,1]",4,22163,43373,0.3381805419921875,0.6618194580078125,1.6618194580078125,1.2909629855837141,0.4619293212890625,0.5380706787109375,1.5380706787109375,1.443949007987976
legacy_pairwise_hc,1.0,10,"[[0],[1,3],[2,5,6,7],[4]]","[4,2,1,1]",4,22163,43373,0.3381805419921875,0.6618194580078125,1.6618194580078125,1.2909629855837141,0.4619293212890625,0.5380706787109375,1.5380706787109375,1.443949007987976
objective_aware,1.0,11,"[[0,1,6,7],[2,5],[3],[4]]","[4,2,1,1]",4,29627,35909,0.4520721435546875,0.5479278564453125,1.5479278564453125,1.4831133059092931,0.5067901611328125,0.4932098388671875,1.4932098388671875,2.029581129550934
legacy_pairwise_hc,1.0,11,"[[0,1,6,7],[2,5],[3],[4]]","[4,2,1,1]",4,29627,35909,0.4520721435546875,0.5479278564453125,1.5479278564453125,1.4831133059092931,0.5067901611328125,0.4932098388671875,1.4932098388671875,2.029581129550934
objective_aware,1.0,12,"[[0,1,2,4,5],[3],[6],[7]]","[5,1,1,1]",4,28299,37237,0.4318084716796875,0.5681915283203125,1.5681915283203125,1.5472447156906128,0.5006561279296875,0.4993438720703125,1.4993438720703125,1.7295993447303772
legacy_pairwise_hc,1.0,12,"[[0,1,2,4,5],[3],[6],[7]]","[5,1,1,1]",4,28299,37237,0.4318084716796875,0.5681915283203125,1.5681915283203125,1.5472447156906128,0.5006561279296875,0.4993438720703125,1.4993438720703125,1.7295993447303772
objective_aware,1.0,13,"[[0],[1,3,5,6],[2,7],[4]]","[4,2,1,1]",4,23224,42312,0.3543701171875,0.6456298828125,1.6456298828125,1.6692981719970703,0.45477294921875,0.54522705078125,1.54522705078125,1.7279566645622253
legacy_pairwise_hc,1.0,13,"[[0],[1,3,5,6],[2,7],[4]]","[4,2,1,1]",4,23224,42312,0.3543701171875,0.6456298828125,1.6456298828125,1.6692981719970703,0.45477294921875,0.54522705078125,1.54522705078125,1.7279566645622253
objective_aware,1.0,14,"[[0,3],[1],[2],[4,5,6,7]]","[4,2,1,1]",4,26525,39011,0.4047393798828125,0.5952606201171875,1.5952606201171875,2.1944994245256697,0.49249267578125,0.50750732421875,1.50750732421875,2.2715713024139403
legacy_pairwise_hc,1.0,14,"[[0,3],[1],[2],[4,5,6,7]]","[4,2,1,1]",4,26525,39011,0.4047393798828125,0.5952606201171875,1.5952606201171875,2.1944994245256697,0.49249267578125,0.50750732421875,1.50750732421875,2.2715713024139403
objective_aware,1.0,15,"[[0,1,5],[2,3,4],[6],[7]]","[3,3,1,1]",4,16901,48635,0.2578887939453125,0.7421112060546875,1.7421112060546875,2.1640517115592957,0.4714202880859375,0.5285797119140625,1.5285797119140625,2.443004322052002
legacy_pairwise_hc,1.0,15,"[[0,1,5],[2,3,4],[6],[7]]","[3,3,1,1]",4,16901,48635,0.2578887939453125,0.7421112060546875,1.7421112060546875,2.1640517115592957,0.4714202880859375,0.5285797119140625,1.5285797119140625,2.443004322052002
objective_aware,1.0,16,"[[0],[1],[2,3,4,6,7],[5]]","[5,1,1,1]",4,24684,40852,0.37664794921875,0.62335205078125,1.62335205078125,2.3671871423721313,0.454498291015625,0.545501708984375,1.545501708984375,2.7391475677490233
legacy_pairwise_hc,1.0,16,"[[0],[1],[2,3,4,6,7],[5]]","[5,1,1,1]",4,24684,40852,0.37664794921875,0.62335205078125,1.62335205078125,2.3671871423721313,0.454498291015625,0.545501708984375,1.545501708984375,2.7391475677490233
objective_aware,1.0,17,"[[0],[1],[2,3,5,6,7],[4]]","[5,1,1,1]",4,22286,43250,0.340057373046875,0.659942626953125,1.659942626953125,3.1226359367370606,0.4613037109375,0.5386962890625,1.5386962890625,3.896775317192078
legacy_pairwise_hc,1.0,17,"[[0],[1],[2,3,5,6,7],[4]]","[5,1,1,1]",4,22286,43250,0.340057373046875,0.659942626953125,1.659942626953125,3.1226359367370606,0.4613037109375,0.5386962890625,1.5386962890625,3.896775317192078
objective_aware,1.0,18,"[[0],[1,3,6],[2],[4,5,7]]","[3,3,1,1]",4,20079,45457,0.3063812255859375,0.6936187744140625,1.6936187744140625,3.760180393854777,0.4247283935546875,0.5752716064453125,1.5752716064453125,4.471731019020081
legacy_pairwise_hc,1.0,18,"[[0],[1,3,6],[2],[4,5,7]]","[3,3,1,1]",4,20079,45457,0.3063812255859375,0.6936187744140625,1.6936187744140625,3.760180393854777,0.4247283935546875,0.5752716064453125,1.5752716064453125,4.471731019020081
objective_aware,1.0,19,"[[0,1,2,3,6],[4],[5],[7]]","[5,1,1,1]",4,24990,40546,0.381317138671875,0.618682861328125,1.618682861328125,4.0207033395767215,0.45269775390625,0.54730224609375,1.54730224609375,4.786185026168823
legacy_pairwise_hc,1.0,19,"[[0,1,2,3,6],[4],[5],[7]]","[5,1,1,1]",4,24990,40546,0.381317138671875,0.618682861328125,1.618682861328125,4.0207033395767215,0.45269775390625,0.54730224609375,1.54730224609375,4.786185026168823
objective_aware,1.0,20,"[[0,2,3,6],[1,7],[4],[5]]","[4,2,1,1]",4,17627,47909,0.2689666748046875,0.7310333251953125,1.7310333251953125,3.526900666100638,0.4051055908203125,0.5948944091796875,1.5948944091796875,3.9451783895492554
legacy_pairwise_hc,1.0,20,"[[0,2,3,6],[1,7],[4],[5]]","[4,2,1,1]",4,17627,47909,0.2689666748046875,0.7310333251953125,1.7310333251953125,3.526900666100638,0.4051055908203125,0.5948944091796875,1.5948944091796875,3.9451783895492554
objective_aware,1.0,21,"[[0,5],[1],[2,6,7],[3,4]]","[3,2,2,1]",4,12935,52601,0.1973724365234375,0.8026275634765625,1.8026275634765625,3.3369943618774416,0.3992462158203125,0.6007537841796875,1.6007537841796875,3.6141162157058715
legacy_pairwise_hc,1.0,21,"[[0,5],[1],[2,6,7],[3,4]]","[3,2,2,1]",4,12935,52601,0.1973724365234375,0.8026275634765625,1.8026275634765625,3.3369943618774416,0.3992462158203125,0.6007537841796875,1.6007537841796875,3.6141162157058715
objective_aware,1.0,22,"[[0,3,4,6],[1,2],[5],[7]]","[4,2,1,1]",4,19425,46111,0.2964019775390625,0.7035980224609375,1.7035980224609375,3.3992505414145335,0.42486572265625,0.57513427734375,1.57513427734375,3.639899230003357
legacy_pairwise_hc,1.0,22,"[[0,3,4,6],[1,2],[5],[7]]","[4,2,1,1]",4,19425,46111,0.2964019775390625,0.7035980224609375,1.7035980224609375,3.3992505414145335,0.42486572265625,0.57513427734375,1.57513427734375,3.639899230003357
