mean_P_U1,mean_P_U2,mean_E_U,mean_intragroup_output_distance,method,alpha
0.32674074172973633,0.6732592582702637,1.6732592582702637,5.301764922729871,objective_aware,1.0
0.32674074172973633,0.6732592582702637,1.6732592582702637,5.301764922729871,legacy_pairwise_hc,1.0
0.3587050437927246,0.6412949562072754,1.6412949562072754,5.45467507523551,objective_aware,0.9
0.3157939910888672,0.6842060089111328,1.6842060089111328,5.300464728047761,legacy_pairwise_hc,0.9
0.39124059677124023,0.6087594032287598,1.6087594032287598,5.616809318464116,objective_aware,0.75
0.32823801040649414,0.6717619895935059,1.6717619895935059,5.515100240728463,legacy_pairwise_hc,0.75
0.4189920425415039,0.5810079574584961,1.581007957458496,5.712342780667711,objective_aware,0.5
0.32645130157470703,0.673548698425293,1.673548698425293,5.832062884803773,legacy_pairwise_hc,0.5
0.429293155670166,0.570706844329834,1.570706844329834,6.271468466995949,objective_aware,0.25
0.3250861167907715,0.6749138832092285,1.6749138832092285,6.224450262294461,legacy_pairwise_hc,0.25
0.4309821128845215,0.5690178871154785,1.5690178871154785,7.360358873648303,objective_aware,0.0
0.32559871673583984,0.6744012832641602,1.6744012832641602,6.374721583149706,legacy_pairwise_hc,0.0
