model,layer,expert_i,expert_j,comparison,category,same_group_a0,same_group_a05,same_group_a1,hc_mean_l2,hc_mean_rel_l2,coactivation_rate,routing_jaccard,active_union_rel_l2,corouted_rel_l2,num_union_tokens,num_corouted_tokens
qwen,0,1,9,05_vs_1,routing_only,False,False,True,0.5583587884902954,1.4210741519927979,0.00042724609375,0.003948110547095319,1.4483297768112502,nan,1773,7
qwen,0,1,10,05_vs_1,shared_05_1,False,True,True,0.35146722197532654,1.2910641431808472,0.0023193359375,0.018155757286192068,1.436712039012517,1.3992550561302586,2093,38
qwen,0,1,10,0_vs_05,hybrid_only_vs_hc,False,True,True,0.35146722197532654,1.2910641431808472,0.0023193359375,0.018155757286192068,1.436712039012517,1.3992550561302586,2093,38
qwen,0,1,11,05_vs_1,hybrid_only_vs_routing,True,True,False,0.303073912858963,1.2710418701171875,0.00189208984375,0.01509985387238188,1.4311797109047377,nan,2053,31
qwen,0,1,11,0_vs_05,shared_0_05,True,True,False,0.303073912858963,1.2710418701171875,0.00189208984375,0.01509985387238188,1.4311797109047377,nan,2053,31
qwen,0,1,12,05_vs_1,shared_05_1,True,True,True,0.2733505070209503,1.3433271646499634,0.00323486328125,0.02416780665754674,1.4316188506323402,1.4101269042716835,2193,53
qwen,0,1,12,0_vs_05,shared_0_05,True,True,True,0.2733505070209503,1.3433271646499634,0.00323486328125,0.02416780665754674,1.4316188506323402,1.4101269042716835,2193,53
qwen,0,1,13,05_vs_1,hybrid_only_vs_routing,True,True,False,0.2551230490207672,1.4733691215515137,0.00421142578125,0.03571428571428571,1.4301294258662633,1.4253665105156277,1932,69
qwen,0,1,13,0_vs_05,shared_0_05,True,True,False,0.2551230490207672,1.4733691215515137,0.00421142578125,0.03571428571428571,1.4301294258662633,1.4253665105156277,1932,69
qwen,0,1,14,05_vs_1,shared_05_1,True,True,True,0.330782026052475,1.2829376459121704,0.00750732421875,0.05913461538461538,1.4400861902878834,1.4371953117169016,2080,123
qwen,0,1,14,0_vs_05,shared_0_05,True,True,True,0.330782026052475,1.2829376459121704,0.00750732421875,0.05913461538461538,1.4400861902878834,1.4371953117169016,2080,123
qwen,0,1,15,05_vs_1,shared_05_1,True,True,True,0.25993385910987854,1.325193166732788,0.00445556640625,0.033455545371219066,1.424045222271046,1.4047753174011022,2182,73
qwen,0,1,15,0_vs_05,shared_0_05,True,True,True,0.25993385910987854,1.325193166732788,0.00445556640625,0.033455545371219066,1.424045222271046,1.4047753174011022,2182,73
qwen,0,1,16,05_vs_1,hybrid_only_vs_routing,True,True,False,0.2515270709991455,1.388009786605835,0.00830078125,0.0735930735930736,1.4169572826587793,1.3828334755757277,1848,136
