mean_unique_group_rate_1,mean_unique_group_rate_2,mean_unique_group_rate_3,mean_unique_group_rate_4,mean_unique_groups,mean_intragroup_output_distance,delta_mean_unique_groups_vs_alpha1,delta_rate1_vs_alpha1,delta_rate2_vs_alpha1,delta_rate3_vs_alpha1,delta_rate4_vs_alpha1,output_distance_change_vs_alpha1,method,alpha
0.09500630696614583,0.255709966023763,0.3338635762532552,0.31542015075683594,2.8696975708007812,1.5911102504770478,0.0,0.0,0.0,0.0,0.0,0.0,objective_aware,1.0
0.09500630696614583,0.255709966023763,0.3338635762532552,0.31542015075683594,2.8696975708007812,1.5911102504770478,0.0,0.0,0.0,0.0,0.0,0.0,legacy_pairwise_hc,1.0
0.10828145345052083,0.261505126953125,0.3147532145182292,0.315460205078125,2.8373921712239585,1.604107362575375,-0.03230539957682277,0.013275146484375,0.005795160929361998,-0.019110361735026005,4.00543212890625e-05,0.012997112098327213,objective_aware,0.9
0.08500353495279948,0.23990948994954428,0.3438453674316406,0.3312416076660156,2.9213250478108725,1.564296991122928,0.051627477010091294,-0.010002772013346345,-0.015800476074218722,0.009981791178385435,0.015821456909179688,-0.02681325935411971,legacy_pairwise_hc,0.9
0.15407562255859375,0.24950853983561197,0.2623678843180339,0.33404795328776044,2.776388168334961,1.722904127536305,-0.09330940246582031,0.05906931559244792,-0.006201426188151032,-0.07149569193522132,0.018627802530924498,0.13179387705925727,objective_aware,0.75
0.043487548828125,0.1828441619873047,0.38903236389160156,0.38463592529296875,3.114816665649414,1.5002295911071513,0.2451190948486328,-0.05151875813802083,-0.07286580403645831,0.05516878763834637,0.06921577453613281,-0.09088065936989653,legacy_pairwise_hc,0.75
0.17440668741861978,0.24949328104654947,0.23882738749186197,0.33727264404296875,2.7389659881591797,1.9926136751682582,-0.13073158264160156,0.07940038045247395,-0.006216684977213532,-0.09503618876139322,0.021852493286132812,0.40150342469121036,objective_aware,0.5
0.017045974731445312,0.14301236470540366,0.4203726450602214,0.4195690155029297,3.2424647013346353,1.8877035077585453,0.372767130533854,-0.07796033223470052,-0.11269760131835935,0.08650906880696618,0.10414886474609375,0.29659325728149755,legacy_pairwise_hc,0.5
0.19960339864095053,0.2372875213623047,0.22024981180826822,0.34285926818847656,2.706364949544271,2.7988800621995353,-0.16333262125651027,0.1045970916748047,-0.018422444661458315,-0.11361376444498697,0.027439117431640625,1.2077698117224875,objective_aware,0.25
0.021060943603515625,0.1583690643310547,0.41188939412434894,0.40868059794108075,3.2081896464029946,2.5404405134771846,0.3384920756022134,-0.0739453633626302,-0.09734090169270831,0.07802581787109375,0.09326044718424481,0.9493302630001368,legacy_pairwise_hc,0.25
0.2063312530517578,0.2355950673421224,0.21187591552734375,0.34619776407877606,2.697940190633138,2.9588282391719805,-0.17175738016764308,0.11132494608561198,-0.020114898681640597,-0.12198766072591144,0.030777613321940123,1.3677179886949327,objective_aware,0.0
0.02619616190592448,0.1608912150065104,0.4075743357340495,0.4053382873535156,3.1920547485351562,2.8405478543696923,0.322357177734375,-0.06881014506022134,-0.0948187510172526,0.07371075948079431,0.08991813659667969,1.2494376038926445,legacy_pairwise_hc,0.0
