method,alpha,layer,groups,group_size_pattern,num_groups,unique_group_count_1,unique_group_count_2,unique_group_count_3,unique_group_count_4,unique_group_rate_1,unique_group_rate_2,unique_group_rate_3,unique_group_rate_4,mean_unique_groups,mean_intragroup_output_distance,initial_pairwise_same_group_routing_mass
objective_aware,1.0,0,"[[0,1,7,8,11,12,13,14,15,16,17,20,21,22,23,24,27,29,30,32,35,44,47,48,49,52,53,54,55,56,57],[2],[3],[4],[5],[6],[9],[10],[18],[19],[25],[26],[28],[31],[33],[34],[36],[37],[38],[39],[40],[41],[42],[43],[45],[46],[50],[51],[58],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7446,17611,19626,20853,0.113616943359375,0.2687225341796875,0.299468994140625,0.3181915283203125,2.822235107421875,0.2216380903156855,1.7873382568359375
legacy_pairwise_hc,1.0,0,"[[0,1,7,8,11,12,13,14,15,16,17,20,21,22,23,24,27,29,30,32,35,44,47,48,49,52,53,54,55,56,57],[2],[3],[4],[5],[6],[9],[10],[18],[19],[25],[26],[28],[31],[33],[34],[36],[37],[38],[39],[40],[41],[42],[43],[45],[46],[50],[51],[58],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7446,17611,19626,20853,0.113616943359375,0.2687225341796875,0.299468994140625,0.3181915283203125,2.822235107421875,0.2216380903156855,1.7873382568359375
objective_aware,1.0,1,"[[0],[1,2,4,5,6,7,8,9,11,12,13,14,15,20,25,28,29,30,31,32,37,39,41,43,49,50,51,54,55,57,58],[3],[10],[16],[17],[18],[19],[21],[22],[23],[24],[26],[27],[33],[34],[35],[36],[38],[40],[42],[44],[45],[46],[47],[48],[52],[53],[56],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7927,15342,22624,19643,0.1209564208984375,0.234100341796875,0.34521484375,0.2997283935546875,2.8237152099609375,0.3309164027052541,1.77325439453125
legacy_pairwise_hc,1.0,1,"[[0],[1,2,4,5,6,7,8,9,11,12,13,14,15,20,25,28,29,30,31,32,37,39,41,43,49,50,51,54,55,57,58],[3],[10],[16],[17],[18],[19],[21],[22],[23],[24],[26],[27],[33],[34],[35],[36],[38],[40],[42],[44],[45],[46],[47],[48],[52],[53],[56],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7927,15342,22624,19643,0.1209564208984375,0.234100341796875,0.34521484375,0.2997283935546875,2.8237152099609375,0.3309164027052541,1.77325439453125
objective_aware,1.0,2,"[[0],[1,3,4,5,7,8,10,13,15,17,19,20,21,22,25,28,29,30,31,33,34,35,39,40,41,48,49,50,51,53,58],[2],[6],[9],[11],[12],[14],[16],[18],[23],[24],[26],[27],[32],[36],[37],[38],[42],[43],[44],[45],[46],[47],[52],[54],[55],[56],[57],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,6622,16237,21360,21317,0.101043701171875,0.2477569580078125,0.325927734375,0.3252716064453125,2.87542724609375,0.37111263871192934,1.6754608154296875
legacy_pairwise_hc,1.0,2,"[[0],[1,3,4,5,7,8,10,13,15,17,19,20,21,22,25,28,29,30,31,33,34,35,39,40,41,48,49,50,51,53,58],[2],[6],[9],[11],[12],[14],[16],[18],[23],[24],[26],[27],[32],[36],[37],[38],[42],[43],[44],[45],[46],[47],[52],[54],[55],[56],[57],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,6622,16237,21360,21317,0.101043701171875,0.2477569580078125,0.325927734375,0.3252716064453125,2.87542724609375,0.37111263871192934,1.6754608154296875
objective_aware,1.0,3,"[[0],[1],[2,5,6,8,10,11,16,18,20,21,22,27,28,29,31,32,34,35,37,39,44,45,48,49,50,52,53,54,56,58,59],[3],[4],[7],[9],[12],[13],[14],[15],[17],[19],[23],[24],[25],[26],[30],[33],[36],[38],[40],[41],[42],[43],[46],[47],[51],[55],[57]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7326,16541,20202,21467,0.111785888671875,0.2523956298828125,0.308258056640625,0.3275604248046875,2.851593017578125,0.3934064163956591,1.7361602783203125
legacy_pairwise_hc,1.0,3,"[[0],[1],[2,5,6,8,10,11,16,18,20,21,22,27,28,29,31,32,34,35,37,39,44,45,48,49,50,52,53,54,56,58,59],[3],[4],[7],[9],[12],[13],[14],[15],[17],[19],[23],[24],[25],[26],[30],[33],[36],[38],[40],[41],[42],[43],[46],[47],[51],[55],[57]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7326,16541,20202,21467,0.111785888671875,0.2523956298828125,0.308258056640625,0.3275604248046875,2.851593017578125,0.3934064163956591,1.7361602783203125
objective_aware,1.0,4,"[[0,3,6,7,8,14,15,16,18,20,21,22,24,25,26,27,28,29,30,32,40,41,44,45,46,47,51,54,55,58,59],[1],[2],[4],[5],[9],[10],[11],[12],[13],[17],[19],[23],[31],[33],[34],[35],[36],[37],[38],[39],[42],[43],[48],[49],[50],[52],[53],[56],[57]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7508,16151,19487,22390,0.11456298828125,0.2464447021484375,0.2973480224609375,0.341644287109375,2.8660736083984375,0.4114239958024794,1.72406005859375
legacy_pairwise_hc,1.0,4,"[[0,3,6,7,8,14,15,16,18,20,21,22,24,25,26,27,28,29,30,32,40,41,44,45,46,47,51,54,55,58,59],[1],[2],[4],[5],[9],[10],[11],[12],[13],[17],[19],[23],[31],[33],[34],[35],[36],[37],[38],[39],[42],[43],[48],[49],[50],[52],[53],[56],[57]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7508,16151,19487,22390,0.11456298828125,0.2464447021484375,0.2973480224609375,0.341644287109375,2.8660736083984375,0.4114239958024794,1.72406005859375
