model,layer,alpha,num_tokens,mean_unique_groups,u1_rate,u2_rate,local_rel_l2,local_rel_l2_p95,local_cosine
mixtral,28,0.5,16384,1.64593505859375,0.35406494140625,0.64593505859375,0.41478753089904785,0.7985252141952515,0.872349202632904
mixtral,29,0.5,16384,1.57861328125,0.42138671875,0.57861328125,0.39305728673934937,0.7790805697441101,0.8798142075538635
mixtral,30,0.5,16384,1.5142822265625,0.4857177734375,0.5142822265625,0.29462406039237976,0.6849405169487,0.9224703907966614
mixtral,31,0.5,16384,1.44427490234375,0.55572509765625,0.44427490234375,0.1278831511735916,0.2829550504684448,0.9866342544555664
mixtral,0,1.0,16384,1.57208251953125,0.42791748046875,0.57208251953125,0.43107953667640686,0.7733851075172424,0.884486734867096
mixtral,1,1.0,16384,1.60009765625,0.39990234375,0.60009765625,0.4649750590324402,0.7246267795562744,0.8767935037612915
mixtral,2,1.0,16384,1.568603515625,0.431396484375,0.568603515625,0.421857625246048,0.7105944752693176,0.8940550088882446
mixtral,3,1.0,16384,1.59747314453125,0.40252685546875,0.59747314453125,0.4770708382129669,0.7732137441635132,0.8428093194961548
mixtral,4,1.0,16384,1.60882568359375,0.39117431640625,0.60882568359375,0.4849395453929901,0.7700023651123047,0.8414708375930786
mixtral,5,1.0,16384,1.61871337890625,0.38128662109375,0.61871337890625,0.4709351062774658,0.7547358274459839,0.8470088839530945
mixtral,6,1.0,16384,1.5911865234375,0.4088134765625,0.5911865234375,0.4899773597717285,0.7484092116355896,0.8380548357963562
mixtral,7,1.0,16384,1.62664794921875,0.37335205078125,0.62664794921875,0.49081936478614807,0.7596332430839539,0.8315227031707764
mixtral,8,1.0,16384,1.64581298828125,0.35418701171875,0.64581298828125,0.4750053882598877,0.7749693989753723,0.8364466428756714
mixtral,9,1.0,16384,1.5374755859375,0.4625244140625,0.5374755859375,0.5240420699119568,0.7911550998687744,0.8076789975166321
mixtral,10,1.0,16384,1.54376220703125,0.45623779296875,0.54376220703125,0.5115340948104858,0.7894658446311951,0.81226646900177
mixtral,11,1.0,16384,1.49798583984375,0.50201416015625,0.49798583984375,0.5668732523918152,0.8283362984657288,0.7732663154602051
mixtral,12,1.0,16384,1.48175048828125,0.51824951171875,0.48175048828125,0.5513861179351807,0.8211743831634521,0.7803497314453125
mixtral,13,1.0,16384,1.55242919921875,0.44757080078125,0.55242919921875,0.5120212435722351,0.8140047788619995,0.8010234236717224
mixtral,14,1.0,16384,1.53094482421875,0.46905517578125,0.53094482421875,0.5337450504302979,0.8324630856513977,0.792533278465271
mixtral,15,1.0,16384,1.55950927734375,0.44049072265625,0.55950927734375,0.5801182389259338,0.7868923544883728,0.7891657948493958
mixtral,16,1.0,16384,1.5811767578125,0.4188232421875,0.5811767578125,0.46826988458633423,0.7462756633758545,0.8478567600250244
mixtral,17,1.0,16384,1.52569580078125,0.47430419921875,0.52569580078125,0.5100105404853821,0.7907145023345947,0.8164440393447876
mixtral,18,1.0,16384,1.59552001953125,0.40447998046875,0.59552001953125,0.46688011288642883,0.7677563428878784,0.8453236818313599
mixtral,19,1.0,16384,1.6004638671875,0.3995361328125,0.6004638671875,0.4310053586959839,0.7392013669013977,0.8614214062690735
mixtral,20,1.0,16384,1.6219482421875,0.3780517578125,0.6219482421875,0.4892493188381195,0.7957856059074402,0.8250981569290161
mixtral,21,1.0,16384,1.6224365234375,0.3775634765625,0.6224365234375,0.4926193654537201,0.829273521900177,0.8144791722297668
mixtral,22,1.0,16384,1.61590576171875,0.38409423828125,0.61590576171875,0.5357929468154907,0.8779158592224121,0.7730883955955505
mixtral,23,1.0,16384,1.599365234375,0.400634765625,0.599365234375,0.5420243740081787,0.9104863405227661,0.7636204957962036
mixtral,24,1.0,16384,1.60186767578125,0.39813232421875,0.60186767578125,0.542384147644043,0.9305942058563232,0.7515165209770203
mixtral,25,1.0,16384,1.55633544921875,0.44366455078125,0.55633544921875,0.5708365440368652,0.927838146686554,0.7344942688941956
mixtral,26,1.0,16384,1.59722900390625,0.40277099609375,0.59722900390625,0.5053516626358032,0.9037764668464661,0.7793044447898865
mixtral,27,1.0,16384,1.56182861328125,0.43817138671875,0.56182861328125,0.4310367703437805,0.8714913725852966,0.8390229940414429
mixtral,28,1.0,16384,1.591064453125,0.408935546875,0.591064453125,0.37605908513069153,0.8164210319519043,0.8766076564788818
mixtral,29,1.0,16384,1.523193359375,0.476806640625,0.523193359375,0.38258039951324463,0.7100608348846436,0.8967674970626831
mixtral,30,1.0,16384,1.59014892578125,0.40985107421875,0.59014892578125,0.3337591886520386,1.0164436101913452,0.8709526658058167
mixtral,31,1.0,16384,1.4259033203125,0.5740966796875,0.4259033203125,0.12097962945699692,0.2809673547744751,0.9874611496925354
