model,layer,expert_i,expert_j,comparison,category,same_group_a0,same_group_a05,same_group_a1,hc_mean_l2,hc_mean_rel_l2,coactivation_rate,routing_jaccard,active_union_rel_l2,corouted_rel_l2,num_union_tokens,num_corouted_tokens
mixtral,0,0,1,05_vs_1,routing_only,False,False,True,0.16309167444705963,0.4036654829978943,0.08636474609375,0.2077826725403818,1.0424379315145216,0.9366910860311016,6810,1415
mixtral,0,0,4,05_vs_1,routing_only,False,False,True,0.1352616846561432,0.3509920835494995,0.03790283203125,0.07766383191595798,1.0666895466127535,0.9789587237216808,7996,621
mixtral,0,0,6,05_vs_1,routing_only,False,False,True,0.14034785330295563,0.38526687026023865,0.05279541015625,0.11749524585710405,1.102173368168473,0.8705904774583144,7362,865
mixtral,0,0,7,05_vs_1,routing_only,False,False,True,0.11940735578536987,0.32561978697776794,0.063720703125,0.13663133097762073,1.0634400565311275,1.0313844776701653,7641,1044
mixtral,0,1,4,05_vs_1,routing_only,False,False,True,0.15389961004257202,0.3543297052383423,0.06591796875,0.1598105948505475,0.9638743241110579,0.8932598112357988,6758,1080
mixtral,0,1,6,05_vs_1,routing_only,False,False,True,0.1942053586244583,0.4699375033378601,0.00250244140625,0.005535304441744296,1.1271312147624357,1.044414370525174,7407,41
mixtral,0,1,7,05_vs_1,routing_only,False,False,True,0.18346819281578064,0.44137048721313477,0.02862548828125,0.06306306306306306,1.0628469297125147,0.9995460388248664,7437,469
mixtral,0,2,3,05_vs_1,hybrid_only_vs_routing,True,True,False,0.1183382049202919,0.26846349239349365,0.0531005859375,0.12329931972789115,0.95767828882957,0.8752860444715653,7056,870
mixtral,0,2,3,0_vs_05,shared_0_05,True,True,False,0.1183382049202919,0.26846349239349365,0.0531005859375,0.12329931972789115,0.95767828882957,0.8752860444715653,7056,870
mixtral,0,2,4,05_vs_1,hybrid_only_vs_routing,True,True,False,0.13554707169532776,0.31337419152259827,0.02996826171875,0.0652058432934927,1.0104236714235182,0.9136385977146825,7530,491
mixtral,0,2,4,0_vs_05,shared_0_05,True,True,False,0.13554707169532776,0.31337419152259827,0.02996826171875,0.0652058432934927,1.0104236714235182,0.9136385977146825,7530,491
mixtral,0,2,5,05_vs_1,hybrid_only_vs_routing,True,True,False,0.12431451678276062,0.286791056394577,0.05841064453125,0.12687259710990323,0.9779268335825123,0.9210963006303602,7543,957
